surah_number,ayah_number,word_number,word_number_all,uthmani,nastaleeq,indopak,dk_indopak,qpc_v1,dk_v2,dk_v1,qpc_hafs,is_ayah_marker
7,146,30,22572,'ذَٰلِكَ','ذٰلِكَ','ذٰلِكَ','ذٰلِكَ','ﮔ','ذَٰلِكَ','ذَٰلِكَ','ذَٰلِكَ',0
7,146,31,22573,'بِأَنَّهُمْ','بِاَنَّهُمْ','بِاَنَّهُمْ','بِاَنَّهُمْ','ﮕ','بِأَنَّهُمْ','بِأَنَّهُمْ','بِأَنَّهُمۡ',0
7,146,32,22574,'كَذَّبُوا۟','كَذَّبُوْا','كَذَّبُوْا','كَذَّبُوْا','ﮖ','كَذَّبُوا۟','كَذَّبُوا۟','كَذَّبُواْ',0
7,146,33,22575,'بِـَٔايَـٰتِنَا','بِاٰيٰتِنَا','بِاٰیٰتِنَا','بِاٰيٰتِنَا','ﮗ','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا',0
7,146,34,22576,'وَكَانُوا۟','وَكَانُوْا','وَكَانُوْا','وَكَانُوْا','ﮘ','وَكَانُوا۟','وَكَانُوا۟','وَكَانُواْ',0
7,146,35,22577,'عَنْهَا','عَنْهَا','عَنْهَا','عَنْهَا','ﮙ','عَنْهَا','عَنْهَا','عَنۡهَا',0
7,146,36,22578,'غَـٰفِلِينَ','غٰفِلِيْنَ','غٰفِلِیْنَ','غٰفِلِيْنَ','ﮚ','غَٰفِلِينَ','غَٰفِلِينَ','غَٰفِلِينَ',0
7,146,37,22579,'١٤٦','١٤٦','۟','۝١٤٦','ﮛ','۝١٤٦','۝١٤٦','١٤٦',1
7,147,1,22580,'وَٱلَّذِينَ','وَالَّذِيْنَ','وَالَّذِیْنَ','وَالَّذِيْنَ','ﮜ','وَٱلَّذِينَ','وَٱلَّذِينَ','وَٱلَّذِينَ',0
7,147,2,22581,'كَذَّبُوا۟','كَذَّبُوْا','كَذَّبُوْا','كَذَّبُوْا','ﮝ','كَذَّبُوا۟','كَذَّبُوا۟','كَذَّبُواْ',0
7,147,3,22582,'بِـَٔايَـٰتِنَا','بِاٰيٰتِنَا','بِاٰیٰتِنَا','بِاٰيٰتِنَا','ﮞ','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا',0
7,147,4,22583,'وَلِقَآءِ','وَلِقَآءِ','وَلِقَآءِ','وَلِقَا࢜ءِ','ﮟ','وَلِقَآءِ','وَلِقَآءِ','وَلِقَآءِ',0
